Id_oferty	Woj 	Status	Pow	L_pokoi	L_laz	Cena	Data_zglosz	Id_agenta
AB623DN	zachodniopomorskie	A	90	4	1	338876	2016-10-08	10
AB624MT	lubelskie	S	82	3	1	359900	2016-10-11	3
AB625MN	mazowieckie	S	76	4	1	229500	2016-10-11	3
AB626DT	mazowieckie	S	104	3	2	349000	2016-10-13	7
AB627DN	lubelskie	S	116	4	2	249900	2016-10-13	8
AB628MT	podlaskie	S	109	4	2	345000	2016-10-15	6
AB629DN	swietokrzyskie	A	86	3	1	225911	2016-10-18	6
AB630DN	podlaskie	A	75	4	1	389900	2016-10-20	2
AB631DN	lubelskie	A	24	1	1	389000	2016-10-22	5
AB632DT	podlaskie	A	35	1	1	107250	2016-10-22	4
AB633DN	swietokrzyskie	A	48	2	1	158750	2016-10-27	8
AB634MN	lubelskie	A	111	3	2	132450	2016-10-29	4
AB635DN	mazowieckie	A	63	3	1	114750	2016-10-31	1
AB636DN	podlaskie	A	105	4	2	169950	2016-11-02	6
AB637MN	lubelskie	S	84	4	1	150000	2016-11-05	1
AB638DT	podlaskie	S	155	4	2	112955	2016-11-06	2
AB639DN	mazowieckie	A	75	4	1	182500	2016-11-07	4
AB640DN	podlaskie	A	101	4	1	122500	2016-11-08	1
AB641DT	mazowieckie	A	50	3	1	124950	2016-11-11	5
AB642DN	podlaskie	S	88	4	1	119950	2016-11-12	10
AB643MN	podkarpackie	S	88	3	1	124950	2016-11-13	2
AB644MT	mazowieckie	A	76	3	1	174500	2016-11-14	8
AB645MN	mazowieckie	A	109	4	1	102750	2016-11-22	4
AB646DN	podlaskie	A	78	4	1	169950	2016-11-23	8
AB647MN	lubelskie	A	48	4	1	119950	2016-11-26	8
AB648DN	podlaskie	A	117	4	2	125000	2016-12-06	5
AB649DN	podkarpackie	S	119	4	2	124500	2016-12-07	3
AB650MN	lubelskie	S	75	3	1	117995	2016-12-08	7
AB651MT	mazowieckie	S	114	3	2	174500	2016-12-08	5
AB652MN	swietokrzyskie	A	87	4	1	170000	2016-12-10	8
AB653DN	zachodniopomorskie	A	123	4	2	145000	2016-12-12	6
AB654DT	lubelskie	A	83	4	1	113750	2016-12-13	3
AB655DN	zachodniopomorskie	S	76	4	1	136250	2016-12-16	2
AB656MN	mazowieckie	A	74	3	1	99500	2016-12-19	1
AB657DN	mazowieckie	A	82	3	1	172500	2016-12-19	8
AB658DN	lubuskie	A	138	4	2	121500	2016-12-19	1
AB659MN	warminsko-mazurskie	S	94	4	1	132450	2016-12-21	1
AB660DN	mazowieckie	S	121	3	2	180000	2016-12-24	4
AB661MN	mazowieckie	A	28	1	1	110000	2016-12-28	4
AB662MN	podlaskie	A	35	1	1	157000	2016-12-28	3
AB663MN	podlaskie	S	42	2	1	178200	2017-01-08	8
AB664MN	kujawsko-pomorskie	A	45	2	1	200500	2017-01-11	7
AB665MN	zachodniopomorskie	A	56	3	1	240000	2017-01-12	3
AB677DN	zachodniopomorskie	S	230	8	3	485000	2017-01-14	2
AB667DN	kujawsko-pomorskie	A	120	3	2	225500	2017-01-16	7
AB668MN	lubuskie	A	86	3	1	186200	2017-01-20	6
AB669MN	wielkopolskie	S	32	1	1	156000	2017-01-30	5
AB692DT	malopolskie	A	244	8	3	650000	2017-02-01	5
AB671DN	podlaskie	A	106	4	1	256000	2017-02-05	9
AB694DN	dolnoslaskie	A	212	8	3	630000	2017-02-09	9
AB673DN	swietokrzyskie	A	114	4	2	345000	2017-02-11	3
AB674DN	mazowieckie	A	175	5	2	420000	2017-02-11	2
AB675DN	lodzkie	A	159	6	2	360000	2017-02-11	5
AB676MN	dolnoslaskie	S	34	1	1	170000	2017-02-14	4
AB693DN	opolskie	A	182	7	2	425000	2017-02-15	7
AB678DN	podlaskie	A	125	4	2	300000	2017-02-15	6
AB679DN	mazowieckie	A	146	5	2	264000	2017-02-17	2
AB698DN	podkarpackie	S	214	7	3	535000	2017-02-21	9
AB666DN	swietokrzyskie	A	220	6	3	450000	2017-03-01	7
AB672DT	kujawsko-pomorskie	A	212	6	2	575000	2017-03-04	4
AB680DT	wielkopolskie	A	220	6	2	520000	2017-03-06	1
AB684DN	dolnoslaskie	A	180	4	2	360000	2017-03-11	3
AB685MN	lodzkie	S	99	4	1	260000	2017-03-11	5
AB681DN	pomorskie	S	242	6	3	468400	2017-03-16	10
AB687DN	dolnoslaskie	A	163	5	2	350000	2017-03-18	6
AB688DN	kujawsko-pomorskie	A	113	4	2	289000	2017-03-20	8
AB689MT	mazowieckie	S	77	4	1	186000	2017-03-27	2
AB690MN	lubuskie	A	32	1	1	156000	2017-04-05	6
AB691MT	lubuskie	A	39	2	1	170000	2017-04-06	3
AB686MN	opolskie	A	192	6	2	375000	2017-04-09	1
AB697DN	mazowieckie	A	195	6	2	460000	2017-04-10	9
AB703DN	lubuskie	S	195	6	2	380000	2017-04-10	1
AB695MT	podkarpackie	A	162	5	2	420800	2017-04-18	1
AB696MT	wielkopolskie	A	42	2	1	160000	2017-04-19	10
AB670DN	wielkopolskie	A	208	5	3	358400	2017-04-20	8
AB682DN	swietokrzyskie	A	203	5	3	485000	2017-04-22	1
AB699MT	lodzkie	A	68	3	1	190500	2017-04-25	9
AB700MT	mazowieckie	A	85	4	1	265000	2017-04-25	7
AB701DN	swietokrzyskie	A	168	6	2	364000	2017-04-25	4
AB702MT	mazowieckie	A	49	3	1	186000	2017-04-30	1
AB683DN	podlaskie	A	195	5	2	395800	2017-04-30	5
AB704DN	podlaskie	A	138	4	2	250000	2017-04-30	10
AB705DN	mazowieckie	A	160	4	2	350000	2017-04-30	6
